date,TMAX,TMIN,energy_consumption,city,state,avg_temp,temp_range,day_of_week,is_weekend,month,season,temp_category,energy_pct_change
2026-01-06,40.1,38.12,2409000,Chicago,Illinois,39.11,1.980000000000004,Tuesday,False,1,Winter,<50°F,
2026-01-07,39.92,37.76,2285865,Chicago,Illinois,38.84,2.1600000000000037,Wednesday,False,1,Winter,<50°F,-5.111457036114575
2026-01-08,42.8,39.38,2301357,Chicago,Illinois,41.09,3.4199999999999946,Thursday,False,1,Winter,<50°F,0.6777303121575429
2026-01-09,42.8,39.2,2236969,Chicago,Illinois,41.0,3.5999999999999943,Friday,False,1,Winter,<50°F,-2.7978275426194243
2026-01-10,39.2,36.32,2168687,Chicago,Illinois,37.760000000000005,2.8800000000000026,Saturday,True,1,Winter,<50°F,-3.05243389604416
2026-01-11,38.12,35.78,2320787,Chicago,Illinois,36.95,2.3399999999999963,Sunday,True,1,Winter,<50°F,7.013460218095102
2026-01-12,39.74,36.86,2527323,Chicago,Illinois,38.3,2.8800000000000026,Monday,False,1,Winter,<50°F,8.899394903539193
2026-01-13,41.36,38.12,2444710,Chicago,Illinois,39.739999999999995,3.240000000000002,Tuesday,False,1,Winter,<50°F,-3.2687946890840647
2026-01-14,39.56,35.06,2418183,Chicago,Illinois,37.31,4.5,Wednesday,False,1,Winter,<50°F,-1.0850775756633735
2026-01-15,36.32,34.34,2703576,Chicago,Illinois,35.33,1.9799999999999969,Thursday,False,1,Winter,<50°F,11.801960397538158
2026-01-16,38.660000000000004,35.96,2734860,Chicago,Illinois,37.31,2.700000000000003,Friday,False,1,Winter,<50°F,1.1571341068274066
2026-01-17,36.32,34.16,2492427,Chicago,Illinois,35.239999999999995,2.1600000000000037,Saturday,True,1,Winter,<50°F,-8.864548825168384
2026-01-18,35.24,33.08,2566720,Chicago,Illinois,34.16,2.1600000000000037,Sunday,True,1,Winter,<50°F,2.9807492857363505
2026-01-06,46.76,43.7,1173636,Houston,Texas,45.230000000000004,3.059999999999995,Tuesday,False,1,Winter,<50°F,
2026-01-07,46.58,43.879999999999995,1183057,Houston,Texas,45.23,2.700000000000003,Wednesday,False,1,Winter,<50°F,0.802719071330471
2026-01-08,46.4,44.6,1191139,Houston,Texas,45.5,1.7999999999999972,Thursday,False,1,Winter,<50°F,0.683145444386879
