date,TMAX,TMIN,energy_consumption,city,state
2026-01-06,39.56,38.3,447701,New York,New York
2026-01-07,40.82,38.660000000000004,433147,New York,New York
2026-01-08,41.0,39.56,415969,New York,New York
2026-01-09,41.72,39.02,419015,New York,New York
2026-01-10,41.36,39.02,402404,New York,New York
2026-01-11,40.46,38.12,405111,New York,New York
2026-01-12,39.38,37.58,442515,New York,New York
2026-01-13,40.64,38.3,425872,New York,New York
2026-01-14,41.36,40.1,420051,New York,New York
2026-01-15,40.46,36.32,444869,New York,New York
2026-01-16,38.12,35.96,465030,New York,New York
2026-01-17,39.02,37.58,434821,New York,New York
2026-01-18,38.48,37.4,435555,New York,New York
2026-01-06,40.1,38.12,2409000,Chicago,Illinois
2026-01-07,39.92,37.76,2285865,Chicago,Illinois
2026-01-08,42.8,39.38,2301357,Chicago,Illinois
2026-01-09,42.8,39.2,2236969,Chicago,Illinois
2026-01-10,39.2,36.32,2168687,Chicago,Illinois
2026-01-11,38.12,35.78,2320787,Chicago,Illinois
2026-01-12,39.74,36.86,2527323,Chicago,Illinois
2026-01-13,41.36,38.12,2444710,Chicago,Illinois
2026-01-14,39.56,35.06,2418183,Chicago,Illinois
2026-01-15,36.32,34.34,2703576,Chicago,Illinois
2026-01-16,38.660000000000004,35.96,2734860,Chicago,Illinois
2026-01-17,36.32,34.16,2492427,Chicago,Illinois
2026-01-18,35.24,33.08,2566720,Chicago,Illinois
2026-01-06,46.76,43.7,1173636,Houston,Texas
2026-01-07,46.58,43.879999999999995,1183057,Houston,Texas
2026-01-08,46.4,44.6,1191139,Houston,Texas
2026-01-09,46.58,43.7,1175624,Houston,Texas
2026-01-10,43.879999999999995,40.28,1189505,Houston,Texas
2026-01-11,43.879999999999995,39.02,1221440,Houston,Texas
2026-01-12,42.980000000000004,39.38,1246714,Houston,Texas
2026-01-13,42.08,39.74,1226216,Houston,Texas
2026-01-14,44.239999999999995,40.64,1206239,Houston,Texas
2026-01-15,42.8,39.2,1250388,Houston,Texas
2026-01-16,45.68,39.2,1218488,Houston,Texas
2026-01-17,42.44,39.2,1302479,Houston,Texas
2026-01-18,42.260000000000005,37.76,1329785,Houston,Texas
2026-01-06,44.6,40.82,102912,Phoenix,Arizona
2026-01-07,42.8,41.72,103223,Phoenix,Arizona
2026-01-08,43.34,40.46,98859,Phoenix,Arizona
2026-01-09,42.8,39.56,102811,Phoenix,Arizona
2026-01-10,43.7,39.02,99458,Phoenix,Arizona
2026-01-11,44.78,41.54,96866,Phoenix,Arizona
2026-01-12,44.96,41.72,97255,Phoenix,Arizona
2026-01-13,45.86,40.82,97150,Phoenix,Arizona
2026-01-14,46.58,40.64,97034,Phoenix,Arizona
2026-01-15,46.22,42.260000000000005,98319,Phoenix,Arizona
2026-01-16,46.04,41.0,95810,Phoenix,Arizona
2026-01-17,45.68,40.28,94085,Phoenix,Arizona
2026-01-18,46.04,40.46,95617,Phoenix,Arizona
2026-01-06,39.92,39.2,32674,Seattle,Washington
2026-01-07,39.56,38.839999999999996,32056,Seattle,Washington
2026-01-08,39.92,38.3,31889,Seattle,Washington
2026-01-09,41.18,39.38,30277,Seattle,Washington
2026-01-10,40.82,38.48,29142,Seattle,Washington
2026-01-11,41.18,39.74,28076,Seattle,Washington
2026-01-12,41.54,40.28,28433,Seattle,Washington
2026-01-13,42.44,41.18,26859,Seattle,Washington
2026-01-14,41.54,40.46,27541,Seattle,Washington
2026-01-15,40.82,39.74,27990,Seattle,Washington
2026-01-16,41.54,39.02,29295,Seattle,Washington
2026-01-17,41.72,38.3,28566,Seattle,Washington
2026-01-18,41.0,37.76,29089,Seattle,Washington
